Sentiment,Phrase
-1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story ."
1,good for the goose
1,good
-1,"the gander , some of which occasionally amuses but none of which amounts to much of a story"
1,amuses
-1,but none of which amounts to much of a story
-1,none of which amounts to much of a story
1,"This quiet , introspective and entertaining independent is worth seeking ."
1,"This quiet , introspective and entertaining independent"
1,"quiet , introspective and entertaining independent"
1,"quiet , introspective and entertaining"
1,", introspective and entertaining"
1,introspective and entertaining
1,introspective and
1,entertaining
1,is worth seeking .
1,is worth seeking
-1,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one ."
1,fans
-1,", I suspect , would have a hard time sitting through this one ."
-1,would have a hard time sitting through this one .
-1,would have a hard time sitting through this one
-1,have a hard time sitting through this one
-1,a hard time sitting through this one
-1,a hard time
-1,hard time
-1,sitting through this one
1,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera ."
1,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera"
1,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder"
1,A positively thrilling combination
1,positively thrilling combination
1,positively
1,thrilling combination
1,thrilling
-1,"the intrigue , betrayal , deceit and murder"
1,intrigue
-1,"betrayal , deceit and murder"
-1,", deceit and murder"
-1,deceit and murder
-1,deceit
-1,murder
-1,a Shakespearean tragedy
-1,tragedy
1,a juicy soap opera
1,juicy soap opera
1,juicy
-1,soap opera
-1,Aggressive self-glorification and a manipulative whitewash .
-1,Aggressive self-glorification and a manipulative whitewash
-1,self-glorification and a manipulative whitewash
-1,self-glorification and
-1,a manipulative whitewash
-1,manipulative whitewash
1,A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .
1,A comedy-drama of nearly epic proportions
1,of nearly epic proportions
1,nearly epic
1,epic
1,rooted in a sincere performance by the title character undergoing midlife crisis .
1,rooted in a sincere performance by the title character undergoing midlife crisis
1,rooted in a sincere performance
1,rooted
1,in a sincere performance
1,a sincere performance
1,sincere performance
1,sincere
-1,midlife crisis
-1,"Narratively , Trouble Every Day is a plodding mess ."
-1,", Trouble Every Day is a plodding mess ."
-1,Trouble Every Day is a plodding mess .
-1,Trouble
-1,is a plodding mess .
-1,is a plodding mess
-1,a plodding mess
-1,plodding mess
-1,plodding
-1,mess
1,"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations"
1,Importance
1,"Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations"
1,"Earnest ,"
1,Earnest
1,thick with wit it plays like a reading from Bartlett 's Familiar Quotations
1,with wit it plays like a reading from Bartlett 's Familiar Quotations
1,plays like a reading from Bartlett 's Familiar Quotations
-1,But it does n't leave you with much .
-1,it does n't leave you with much .
-1,does n't leave you with much .
-1,does n't leave you with much
-1,does n't
-1,leave
-1,You could hate it for the same reason .
-1,could hate it for the same reason .
-1,could hate it for the same reason
-1,hate it for the same reason
-1,hate it
-1,hate
-1,"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity ."
-1,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity ."
-1,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity"
-1,"'s little to recommend Snow Dogs ,"
-1,'s little to recommend Snow Dogs
1,recommend Snow Dogs
1,recommend
-1,unless one considers cliched dialogue and perverse escapism a source of high hilarity
-1,cliched dialogue and perverse escapism a source of high hilarity
-1,cliched dialogue and perverse escapism
-1,cliched dialogue and
-1,cliched dialogue
-1,cliched
-1,perverse
1,a source of high hilarity
1,of high hilarity
1,high hilarity
1,high
1,hilarity
-1,"Kung Pow is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that ."
1,Pow
-1,"is Oedekerk 's realization of his childhood dream to be in a martial-arts flick , and proves that sometimes the dreams of youth should remain just that"
1,dream
-1,proves that sometimes the dreams of youth should remain just that
-1,that sometimes the dreams of youth should remain just that
-1,sometimes the dreams of youth should remain just that
1,the dreams of youth
1,The performances are an absolute joy .
1,are an absolute joy .
1,are an absolute joy
1,an absolute joy
1,absolute joy
1,joy
1,Fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .
1,has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .
1,has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense
1,something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense
1,to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense
-1,the ways in which extravagant chance can distort our perspective and throw us off the path of good sense
1,extravagant
1,us
-1,off the path of good sense
-1,off
1,of good sense
1,good sense
1,"I still like Moonlight Mile , better judgment be damned ."
1,"still like Moonlight Mile , better judgment be damned ."
1,better
-1,damned
1,"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story ."
1,A welcome relief from baseball movies that try too hard to be mythic
1,A welcome relief
1,welcome relief
-1,from baseball movies that try too hard to be mythic
-1,baseball movies that try too hard to be mythic
-1,that try too hard to be mythic
-1,try too hard to be mythic
-1,too hard to be mythic
-1,hard to be mythic
1,", this one is a sweet and modest and ultimately winning story ."
1,this one is a sweet and modest and ultimately winning story .
1,is a sweet and modest and ultimately winning story .
1,is a sweet and modest and ultimately winning story
1,a sweet and modest and ultimately winning story
1,a sweet and modest and
1,a sweet and modest
1,sweet and modest
1,sweet and
1,sweet
1,modest
1,ultimately winning story
1,winning story
1,winning
1,"a bilingual charmer , just like the woman who inspired it"
1,"a bilingual charmer ,"
1,a bilingual charmer
1,bilingual charmer
1,charmer
1,inspired
1,Like a less dizzily gorgeous companion to Mr.
1,dizzily gorgeous
1,gorgeous
1,companion
1,In the Mood for Love -- very much a Hong Kong movie
1,the Mood
1,Love -- very much a Hong Kong movie
1,Love -- very much
1,Love --
1,Love
1,its mainland setting
-1,As inept as big-screen remakes of The Avengers and The Wild Wild West .
-1,As inept
-1,inept
-1,as big-screen remakes of The Avengers and The Wild Wild West
1,The Wild Wild West
1,Wild
-1,'s everything you 'd expect -- but nothing more .
