Sentiment,Phrase
0,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story ."
1,good for the goose
1,good
0,"the gander , some of which occasionally amuses but none of which amounts to much of a story"
1,amuses
0,but none of which amounts to much of a story
0,none of which amounts to much of a story
1,"This quiet , introspective and entertaining independent is worth seeking ."
1,"This quiet , introspective and entertaining independent"
1,"quiet , introspective and entertaining independent"
1,"quiet , introspective and entertaining"
1,", introspective and entertaining"
1,introspective and entertaining
1,introspective and
1,entertaining
1,is worth seeking .
1,is worth seeking
0,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one ."
1,fans
0,", I suspect , would have a hard time sitting through this one ."
0,would have a hard time sitting through this one .
0,would have a hard time sitting through this one
0,have a hard time sitting through this one
0,a hard time sitting through this one
0,a hard time
0,hard time
0,sitting through this one
1,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera ."
1,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera"
1,"A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder"
1,A positively thrilling combination
1,positively thrilling combination
1,positively
1,thrilling combination
1,thrilling
0,"the intrigue , betrayal , deceit and murder"
1,intrigue
0,"betrayal , deceit and murder"
0,", deceit and murder"
0,deceit and murder
0,deceit
0,murder
0,a Shakespearean tragedy
0,tragedy
1,a juicy soap opera
1,juicy soap opera
1,juicy
0,soap opera
0,Aggressive self-glorification and a manipulative whitewash .
0,Aggressive self-glorification and a manipulative whitewash
0,self-glorification and a manipulative whitewash
0,self-glorification and
0,a manipulative whitewash
0,manipulative whitewash
1,A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .
1,A comedy-drama of nearly epic proportions
1,of nearly epic proportions
1,nearly epic
1,epic
1,rooted in a sincere performance by the title character undergoing midlife crisis .
1,rooted in a sincere performance by the title character undergoing midlife crisis
1,rooted in a sincere performance
1,rooted
1,in a sincere performance
1,a sincere performance
1,sincere performance
1,sincere
0,midlife crisis
0,"Narratively , Trouble Every Day is a plodding mess ."
0,", Trouble Every Day is a plodding mess ."
0,Trouble Every Day is a plodding mess .
0,Trouble
0,is a plodding mess .
0,is a plodding mess
0,a plodding mess
0,plodding mess
0,plodding
0,mess
1,"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations"
1,Importance
1,"Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations"
1,"Earnest ,"
1,Earnest
1,thick with wit it plays like a reading from Bartlett 's Familiar Quotations
1,with wit it plays like a reading from Bartlett 's Familiar Quotations
1,plays like a reading from Bartlett 's Familiar Quotations
0,But it does n't leave you with much .
0,it does n't leave you with much .
0,does n't leave you with much .
0,does n't leave you with much
0,does n't
0,leave
0,You could hate it for the same reason .
0,could hate it for the same reason .
0,could hate it for the same reason
0,hate it for the same reason
0,hate it
0,hate
0,"There 's little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity ."
0,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity ."
0,"'s little to recommend Snow Dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity"
0,"'s little to recommend Snow Dogs ,"
0,'s little to recommend Snow Dogs
1,recommend Snow Dogs
1,recommend
0,unless one considers cliched dialogue and perverse escapism a source of high hilarity
0,cliched dialogue and perverse escapism a source of high hilarity
0,cliched dialogue and perverse escapism
0,cliched dialogue and
0,cliched dialogue
